TICKER;PRECO;ULTDIV;DY;VPC;PVP;LIQD;CAIXA;CAGRDIV;CAGRVLR;PATRIMONIO;NCOTISTAS;GESTAO;NCOTA
TEPP11;83.28;0.78;13.36;97.5;0.85;844528.14;1.14;21.15;9.5;411657468.71;29837.0;Ativa;4221967.0
TFOF11;138.0;2.37;0.0;63.81;2.16;;3.5;29.98;;118155565.38;8102.0;;1851786.0
TGAR11;97.99;1.15;16.87;111.11;0.88;7457320.95;2.47;-4.3;-4.04;2618628834.13;170260.0;Ativa;23567968.0
THRA11;138.5;0.13;0.0;63.81;2.17;;3.5;90.73;;118155565.38;8102.0;;1851786.0
TJKB11;280.0;3.27;11.04;268.49;1.04;10236.62;4.74;;;264900351.27;169.0;Ativa;986612.0
TMPS11;81.38;1.63;16.54;95.24;0.85;342852.86;8.46;;;93236253.22;1983.0;Ativa;978968.0
TOPP11;82.99;0.68;0.84;98.16;0.85;784427.1;3.66;;;444509021.87;5086.0;Ativa;4528240.0
TORD11;0.91;0.05;0.0;6.72;0.14;60756.9;2.37;;-54.72;235453506.45;74959.0;Ativa;35051354.0
TORM13;142.0;10.56296;0.0;63.81;2.23;;3.5;;;118155565.38;8102.0;;1851786.0
TOUR11;8.8;0.242328;0.0;63.81;0.14;;3.5;;0.0;118155565.38;8102.0;;1851786.0
TRBL11;72.93;0.62;14.16;99.61;0.73;1782542.57;5.58;1.32;-5.13;770875560.98;56218.0;Ativa;7739092.0
TRNT11;129.99;0.07;1.12;202.35;0.64;31083.52;1.06;-14.19;7.74;796368735.31;599.0;Passiva;3935562.0
TRXB11;134.4;5.0;14.67;117.18;1.15;3592.71;0.74;12.79;5.41;400037886.25;349.0;Passiva;3413849.0
TRXF11;102.19;0.93;12.53;104.55;0.98;5414595.48;3.84;5.1;2.73;2094805620.61;184460.0;Ativa;20035563.0
TRXY11;0.0;;0.0;;;;;;;;;;0.0
TSER11;100.0;0.98;12.36;98.92;1.01;571.43;6.75;2.28;0.43;136980015.39;21.0;Ativa;1384760.0
TSNC11;1.0;7.361195;2208.36;80.71;0.01;0.25;9.4;-38.46;;87717514.21;66.0;Ativa;1086780.0
TSNM11;0.0;;0.0;63.81;;;3.5;;;118155565.38;8102.0;;1851786.0
TVRI11;89.96;0.98;13.94;101.41;0.89;1352396.57;3.43;2.37;0.93;1614374101.59;69182.0;Ativa;15919690.0
URHF11;115.0;1.2;5.32;97.38;1.18;670.52;5.1;;;10752120.84;158.0;Ativa;110417.0
URPR11;61.01;0.88;21.87;100.98;0.6;2171002.38;1.12;-13.1;-15.14;1184327903.44;79123.0;Ativa;11733895.0
