TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
STRX11;159,65;0,750000;6,18;146,98;1,09;0,00;0,80;2,79;;237.160.423,48;109,00;Ativa;1.613.559,00
TBOF11;15,56;0,822740;0,00;63,81;0,24;;3,50;74,62;;118.155.565,38;8.102,00;;1.851.786,00
TCIN11;145,92;;0,00;125,55;1,16;0,00;0,64;;;106.672.683,94;88,00;Ativa;849.660,00
TCPF11;39,53;1,310000;13,81;108,90;0,36;0,00;4,98;;;32.379.522,22;52,00;Ativa;297.327,00
TELD11;0,00;;0,00;26,80;;;1,28;;;12.598.812,06;2,00;Ativa;470.116,00
TELF11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
TELM11;0,00;;0,00;9,98;;;72,97;;;15.421.032,48;80,00;;1.544.831,00
TEPP11;84,51;0,780000;12,25;97,50;0,87;1.272.159,50;1,14;20,74;8,30;411.657.468,71;29.837,00;Ativa;4.221.967,00
TFOF11;138,00;2,370000;0,00;63,81;2,16;;3,50;29,98;;118.155.565,38;8.102,00;;1.851.786,00
TGAR11;96,96;1,150000;15,86;112,45;0,86;8.594.064,50;4,41;-3,19;-4,73;2.650.327.678,98;175.473,00;Ativa;23.567.968,00
THRA11;138,50;0,130000;0,00;63,81;2,17;;3,50;90,73;;118.155.565,38;8.102,00;;1.851.786,00
TJKB11;320,00;3,270000;9,44;268,49;1,19;4.690,91;4,74;;;264.900.351,27;169,00;Ativa;986.612,00
TMPS11;82,31;1,070000;14,37;95,24;0,86;364.168,68;8,46;;;93.236.253,22;1.983,00;Ativa;978.968,00
TOPP11;81,40;0,680000;0,86;97,05;0,84;562.182,55;100,01;;;439.450.890,27;5.101,00;Ativa;4.528.240,00
TORD11;0,91;0,050000;0,00;6,68;0,14;66.811,55;2,35;;-54,93;234.097.073,44;76.380,00;Ativa;35.051.354,00
TORM13;142,00;10,562960;0,00;63,81;2,23;;3,50;;12,40;118.155.565,38;8.102,00;;1.851.786,00
TOUR11;8,80;0,242328;0,00;63,81;0,14;;3,50;;-12,93;118.155.565,38;8.102,00;;1.851.786,00
TRBL11;69,85;0,620000;13,90;99,79;0,70;2.858.871,32;8,74;1,89;-6,05;772.301.555,04;57.998,00;Ativa;7.739.092,00
TRNT11;114,99;0,070000;1,27;201,97;0,57;35.408,77;0,93;-14,19;1,18;794.867.022,41;604,00;Passiva;3.935.562,00
TRXB11;138,38;1,000000;10,64;117,18;1,18;3.591,73;0,74;5,90;6,44;400.037.886,25;349,00;Passiva;3.413.849,00
TRXF11;100,02;0,930000;11,87;103,82;0,96;6.641.491,95;3,87;5,18;2,08;2.080.060.208,42;184.460,00;Ativa;20.035.563,00
TRXY11;0,00;;0,00;;;;;;;;;;0,00
TSER11;96,27;0,970000;11,82;98,92;0,97;0,00;6,75;1,94;;136.980.015,39;21,00;Ativa;1.384.760,00
TSNC11;1,00;7,361195;2.208,36;81,13;0,01;0,67;7,29;-38,46;;88.170.964,13;66,00;Ativa;1.086.780,00
TSNM11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
TVRI11;88,70;0,980000;13,03;101,41;0,87;1.534.087,05;3,43;2,32;1,53;1.614.374.101,59;69.182,00;Ativa;15.919.690,00
URHF11;115,00;1,190000;4,28;97,80;1,18;616,59;4,89;;;10.798.853,62;155,00;Ativa;110.417,00
URPR11;61,59;0,870000;20,23;101,81;0,61;2.250.717,95;1,38;-13,74;-16,59;1.194.618.788,09;81.178,00;Ativa;11.733.895,00
VCHG11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
VCJR11;83,60;0,700000;13,16;95,13;0,88;2.484.288,36;10,85;-5,66;-3,86;1.400.722.001,37;34.659,00;Ativa;14.723.970,00
VCRI11;7,23;0,085000;15,42;9,47;0,76;341.238,86;8,71;;;168.363.078,33;11.218,00;Ativa;17.773.297,00
VCRR11;63,70;0,600000;12,51;130,49;0,49;185.857,86;1,39;-0,29;-4,16;260.987.737,99;4.255,00;Ativa;2.000.000,00
VCTH11;0,00;;0,00;80,33;;;5,04;;;13.308.261,95;62,00;;165.666,00
VDSV11;0,00;;0,00;977,46;;;9,35;;;37.277.557,61;84,00;Ativa;38.137,00
VERE11;423,45;1,100000;6,66;478,71;0,88;0,00;0,59;9,23;;302.986.109,58;112,00;Ativa;632.918,00
VGHF11;7,82;0,090000;14,19;8,92;0,88;3.408.843,41;1,43;-11,66;-6,28;1.468.874.083,41;412.791,00;Ativa;164.721.683,00
VGII11;93,30;1,750000;13,01;96,25;0,97;0,00;1,12;;;49.939.658,26;3,00;Passiva;518.865,00
VGIP11;78,01;0,720000;12,83;90,99;0,86;1.677.386,23;1,44;-11,92;-6,03;1.072.469.383,58;89.322,00;Ativa;11.787.247,00
VGIR11;9,58;0,110000;13,26;9,73;0,98;5.948.075,86;16,14;-3,45;1,77;1.421.265.250,77;262.277,00;Ativa;146.101.287,00
VGRI11;8,24;0,150000;14,20;9,76;0,84;370.016,18;6,21;;;341.922.561,25;3.026,00;Ativa;35.021.736,00
VIDS11;915,64;2,847092;8,19;906,43;1,01;0,00;2,60;;;82.975.951,94;199,00;Ativa;91.541,00
VIFI11;7,10;0,070000;12,25;8,41;0,84;105.471,82;6,41;5,21;-53,62;68.007.064,87;5.899,00;Ativa;8.089.190,00
VILG11;77,33;0,610000;9,54;113,48;0,68;1.734.449,82;3,28;-4,34;-4,97;1.701.890.060,03;156.058,00;Ativa;14.997.396,00
VINO11;4,95;0,050000;13,60;10,73;0,46;749.575,23;3,44;-8,90;-23,78;888.711.448,21;153.106,00;Ativa;82.826.295,00
VISC11;100,45;0,800000;11,08;126,29;0,80;5.254.685,23;9,60;9,49;2,06;3.640.636.766,81;351.617,00;Ativa;28.828.640,00
VIUR11;5,69;0,067000;14,39;8,80;0,65;195.683,14;1,98;-1,50;-9,08;237.195.762,98;49.164,00;Ativa;26.946.220,00
VJFD11;155,02;0,750000;7,05;154,55;1,00;0,00;0,85;-7,11;;753.607.692,56;97,00;Ativa;4.876.129,00
VLIQ11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
VLJS11;1.141,14;28,819221;0,00;852,14;1,34;;1,37;;;22.214.094,44;9,00;Passiva;26.068,00
VLOL11;98,00;1,856441;0,00;63,81;1,54;;3,50;14,56;-0,07;118.155.565,38;8.102,00;;1.851.786,00
VOTS11;75,68;0,700000;14,14;93,78;0,81;2.030,91;28,08;-8,39;-3,36;77.645.133,60;675,00;Ativa;827.913,00
VPSI11;15,61;0,193899;17,07;31,43;0,50;0,68;0,71;7,51;;253.662.294,78;121,00;Ativa;8.071.897,00
VRTA11;79,92;0,800000;12,51;90,67;0,88;1.727.202,68;2,44;-10,49;-6,32;1.413.777.341,89;121.350,00;Ativa;15.592.424,00
VRTM11;7,32;0,085000;13,87;9,52;0,77;407.436,77;16,44;;;447.180.874,20;12.932,00;Ativa;46.971.245,00
VSEC11;0,21;0,080000;0,00;63,81;0,00;;3,50;-0,62;-85,86;118.155.565,38;8.102,00;;1.851.786,00
VSHO11;69,07;0,720000;11,42;103,70;0,67;50.072,82;1,08;3,87;-2,13;217.651.027,40;3.595,00;Ativa;2.098.800,00
VSLH11;3,28;0,040000;14,63;10,95;0,30;152.717,23;1,96;-29,10;-29,70;327.077.112,86;78.739,00;Ativa;29.864.091,00
VTBL11;0,00;0,431800;0,00;88,50;;;2,20;;;19.995.323,85;13,00;Ativa;225.930,00
VTLT11;89,57;0,930000;12,36;112,88;0,79;80.562,50;3,26;4,15;1,37;238.740.077,33;6.162,00;Ativa;2.115.000,00
VTPA11;0,00;;0,00;104,45;;;0,31;;;68.923.750,48;1,00;Ativa;659.857,00
VTPL11;72,10;5,110000;0,00;71,94;1,00;0,00;2,98;;;99.719.317,69;124,00;Ativa;1.386.242,00
VTRT11;0,00;0,107508;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
VTVI11;0,00;;0,00;30,47;;;1,69;;;54.262.448,36;1,00;Ativa;1.780.984,00
VTXI11;0,00;;0,00;5,22;;;55,74;;;540.091,83;2,00;Ativa;103.500,00
VVCO11;13,20;0,323281;0,00;14,22;0,93;70.951,00;1,20;;27,03;140.816.121,76;3.124,00;Ativa;9.900.000,00
VVCR11;9,50;0,080000;13,61;10,61;0,90;381.150,18;5,22;-42,78;-47,02;79.690.179,57;2.478,00;Ativa;7.508.332,00
VVMR11;86,97;0,500000;9,98;112,43;0,77;46.744,68;0,64;-1,53;2,81;317.396.939,81;751,00;Ativa;2.823.180,00
VVPR11;101,50;0,892340;0,00;63,81;1,59;;3,50;;2,59;118.155.565,38;8.102,00;;1.851.786,00
VVRI11;99,00;0,750000;12,45;100,41;0,99;690.591,09;16,44;;;80.595.254,32;176,00;Ativa;802.683,00
VXXV11;685,00;93,020000;27,16;659,94;1,04;129.000,14;1,41;;-6,94;182.437.338,67;20,00;Ativa;276.446,00
WHGR11;9,04;0,100000;13,22;9,60;0,94;531.201,73;2,71;;;296.806.229,65;13.079,00;Ativa;30.912.378,00
WPLZ11;55,00;0,290000;8,45;88,38;0,62;3.881,00;1,78;0,95;-3,20;95.766.180,98;1.759,00;Passiva;1.083.549,00
WSEC11;8,10;0,085000;14,35;10,20;0,79;16.604,55;16,00;;;25.050.307,60;552,00;Ativa;2.456.510,00
WTSP11B;36,00;10,250000;41,61;79,31;0,45;;13,22;64,90;-9,78;98.231.212,53;215,00;Ativa;1.238.572,00
XBXO11;0,00;;0,00;93,61;;;0,00;;;284.819.330,95;5,00;Ativa;3.042.600,00
XPCI11;80,19;0,800000;12,84;89,81;0,89;1.780.434,73;10,81;-5,49;-4,15;781.494.443,86;76.924,00;Ativa;8.701.551,00
XPCM11;7,17;0,020000;1,26;28,71;0,25;16.645,82;3,47;-34,84;-28,49;69.321.774,17;20.100,00;Passiva;2.414.570,00
XPIN11;70,84;0,740000;11,72;105,76;0,67;462.800,23;5,38;0,89;-4,78;756.205.125,34;47.261,00;Ativa;7.150.422,00
XPLG11;96,50;0,780000;9,70;112,47;0,86;4.173.508,23;7,95;4,51;3,11;3.330.645.809,18;351.107,00;Ativa;29.613.233,00
XPML11;104,00;0,920000;11,37;119,16;0,87;13.026.235,50;19,85;9,83;4,81;6.592.134.243,05;547.001,00;Ativa;55.320.191,00
XPPR11;14,80;0,070000;6,08;62,52;0,24;127.879,00;1,98;-43,35;-37,34;457.413.170,30;45.908,00;Ativa;7.316.171,00
XPSF11;6,55;0,070000;13,36;7,98;0,82;486.733,23;2,38;1,21;-2,79;345.399.867,85;63.835,00;Ativa;43.302.140,00
YEES11;102,05;;0,00;87,58;1,17;0,00;45,55;;;7.879.570,95;128,00;Ativa;89.969,00
YUFI11;88,87;0,101610;2,89;105,21;0,84;0,00;0,83;;;51.833.276,84;58,00;Ativa;492.650,00
ZAGH11;12,90;0,070000;4,03;9,57;1,35;1.190,64;13,30;;;44.483.015,06;261,00;;4.645.960,00
ZAVC11;10,49;0,130000;6,58;10,10;1,04;1.487,14;13,77;;;31.271.344,03;130,00;Ativa;3.097.348,00
ZAVI11;103,05;1,150000;13,96;131,64;0,78;127.158,59;6,01;;;154.456.975,43;4.112,00;Ativa;1.173.322,00
ZIFI11;790,00;3,304958;0,00;1.773,56;0,45;581,77;0,10;;-9,05;84.217.703,27;94,00;Ativa;47.485,00
