TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
PNDL11;1.172,00;3,410000;0,55;1.075,53;1,09;2.135,00;7,89;;;155.232.834,84;62,00;Ativa;144.332,00
PNLN11;0,00;;0,00;99,19;;;0,71;;;13.732.496,30;51,00;Ativa;138.452,00
PNPR11;75,50;1,230000;1,63;72,75;1,04;12.814,41;0,13;;;65.318.285,21;26,00;Ativa;897.816,00
PNRC11;103,42;0,800000;15,31;98,18;1,05;0,00;6,74;;;40.263.648,59;105,00;Ativa;410.100,00
PORD11;7,87;0,091000;14,21;9,57;0,82;538.179,45;22,63;-9,29;-3,54;356.643.604,09;39.019,00;Ativa;37.283.750,00
PQAG11;57,87;0,460000;9,49;57,49;1,01;1.644,91;1,47;4,00;-0,18;804.441.008,45;479,00;Ativa;13.991.890,00
PQDP11;2.020,51;16,062312;9,76;3.455,80;0,58;242.514,82;2,98;2,80;1,71;347.519.041,51;3.624,00;Passiva;100.561,00
PRSN11B;1,48;0,178088;12,03;3,32;0,45;;84,59;;-10,14;10.718.356,41;1.023,00;Ativa;3.231.246,00
PRSV11;59,00;1,620000;0,00;166,17;0,36;3.752,45;0,19;28,92;-22,86;34.016.423,07;863,00;Passiva;204.709,00
PRTS11;117,70;0,054870;0,00;63,81;1,84;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
PRZS11;0,00;;0,00;133,56;;;0,01;;;99.053.162,04;20,00;Ativa;741.649,00
PULV11;9,49;0,095000;11,55;9,80;0,97;49.611,82;2,19;;;117.592.127,57;721,00;Ativa;12.000.240,00
PVBI11;76,74;0,550000;10,10;105,13;0,73;5.420.042,82;1,18;7,72;-2,61;2.852.117.593,91;166.508,00;Ativa;27.130.067,00
QAGR11;43,96;0,440000;11,97;60,53;0,73;162.884,32;0,79;3,51;-1,04;305.077.850,78;18.975,00;Ativa;5.040.000,00
QAMI11;84,68;1,000000;0,00;63,81;1,33;3.046,32;3,50;;-3,42;118.155.565,38;8.102,00;;1.851.786,00
QIRI11;78,04;0,660000;0,00;63,81;1,22;;3,50;;-3,26;118.155.565,38;8.102,00;;1.851.786,00
